,Country,Indicator,Gender,Education_Level,Wealth_Quintile,Residence,Data_Year,Percentage,Data_Source
889,Tonga,Completion rate for children of primary school age,Total,Primary education,Fourth,Total,2019.0,98.716858,MICS 2019
890,Tonga,Completion rate for children of primary school age,Total,Primary education,Highest,Total,2019.0,98.685364,MICS 2019
891,Tonga,Completion rate for children of primary school age,Total,Primary education,Total,Rural,2019.0,98.705132,MICS 2019
892,Tonga,Completion rate for children of primary school age,Total,Primary education,Total,Urban,2019.0,96.482094,MICS 2019
893,Tonga,Completion rate for children of primary school age,Total,Primary education,Total,Total,2019.0,98.213547,MICS 2019
896,Tunisia,Completion rate for children of primary school age,Total,Primary education,Lowest,Total,2018.0,88.300003,MICS 2018
897,Tunisia,Completion rate for children of primary school age,Total,Primary education,Second,Total,2018.0,93.800003,MICS 2018
898,Tunisia,Completion rate for children of primary school age,Total,Primary education,Middle,Total,2018.0,97.900002,MICS 2018
899,Tunisia,Completion rate for children of primary school age,Total,Primary education,Fourth,Total,2018.0,96.599998,MICS 2018
900,Tunisia,Completion rate for children of primary school age,Total,Primary education,Highest,Total,2018.0,99.300003,MICS 2018
901,Tunisia,Completion rate for children of primary school age,Total,Primary education,Total,Rural,2018.0,90.5,MICS 2018
902,Tunisia,Completion rate for children of primary school age,Total,Primary education,Total,Urban,2018.0,97.199997,MICS 2018
903,Tunisia,Completion rate for children of primary school age,Total,Primary education,Total,Total,2018.0,95.0,MICS 2018
906,Türkiye,Completion rate for children of primary school age,Total,Primary education,Lowest,Total,2013.0,96.326813,DHS style 2013
907,Türkiye,Completion rate for children of primary school age,Total,Primary education,Second,Total,2013.0,98.044083,DHS style 2013
908,Türkiye,Completion rate for children of primary school age,Total,Primary education,Middle,Total,2013.0,98.86731,DHS style 2013
909,Türkiye,Completion rate for children of primary school age,Total,Primary education,Fourth,Total,2013.0,99.55262,DHS style 2013
910,Türkiye,Completion rate for children of primary school age,Total,Primary education,Highest,Total,2013.0,99.91217,DHS style 2013
911,Türkiye,Completion rate for children of primary school age,Total,Primary education,Total,Rural,2013.0,96.494408,DHS style 2013
912,Türkiye,Completion rate for children of primary school age,Total,Primary education,Total,Urban,2013.0,99.014503,DHS style 2013
913,Türkiye,Completion rate for children of primary school age,Total,Primary education,Total,Total,2013.0,98.4263,DHS style 2013
916,Tuvalu,Completion rate for children of primary school age,Total,Primary education,Lowest,Total,2020.0,100.0,MICS 2019-20
917,Tuvalu,Completion rate for children of primary school age,Total,Primary education,Second,Total,2020.0,100.0,MICS 2019-20
918,Tuvalu,Completion rate for children of primary school age,Total,Primary education,Middle,Total,2020.0,100.0,MICS 2019-20
919,Tuvalu,Completion rate for children of primary school age,Total,Primary education,Fourth,Total,2020.0,95.327217,MICS 2019-20
920,Tuvalu,Completion rate for children of primary school age,Total,Primary education,Highest,Total,2020.0,100.0,MICS 2019-20
921,Tuvalu,Completion rate for children of primary school age,Total,Primary education,Total,Rural,2020.0,100.0,MICS 2019-20
922,Tuvalu,Completion rate for children of primary school age,Total,Primary education,Total,Urban,2020.0,98.648651,MICS 2019-20
923,Tuvalu,Completion rate for children of primary school age,Total,Primary education,Total,Total,2020.0,99.146782,MICS 2019-20
926,United Republic of Tanzania,Completion rate for children of primary school age,Total,Primary education,Lowest,Total,2016.0,60.799999,DHS 2015-16
927,United Republic of Tanzania,Completion rate for children of primary school age,Total,Primary education,Second,Total,2016.0,68.300003,DHS 2015-16
928,United Republic of Tanzania,Completion rate for children of primary school age,Total,Primary education,Middle,Total,2016.0,77.5,DHS 2015-16
929,United Republic of Tanzania,Completion rate for children of primary school age,Total,Primary education,Fourth,Total,2016.0,86.300003,DHS 2015-16
930,United Republic of Tanzania,Completion rate for children of primary school age,Total,Primary education,Highest,Total,2016.0,94.400002,DHS 2015-16
931,United Republic of Tanzania,Completion rate for children of primary school age,Total,Primary education,Total,Rural,2016.0,74.300003,DHS 2015-16
932,United Republic of Tanzania,Completion rate for children of primary school age,Total,Primary education,Total,Urban,2016.0,89.199997,DHS 2015-16
933,United Republic of Tanzania,Completion rate for children of primary school age,Total,Primary education,Total,Total,2016.0,79.5,DHS 2015-16
936,Uganda,Completion rate for children of primary school age,Total,Primary education,Lowest,Total,2016.0,17.23793,DHS 2016
937,Uganda,Completion rate for children of primary school age,Total,Primary education,Second,Total,2016.0,25.28302,DHS 2016
938,Uganda,Completion rate for children of primary school age,Total,Primary education,Middle,Total,2016.0,39.846111,DHS 2016
939,Uganda,Completion rate for children of primary school age,Total,Primary education,Fourth,Total,2016.0,52.352852,DHS 2016
940,Uganda,Completion rate for children of primary school age,Total,Primary education,Highest,Total,2016.0,68.903343,DHS 2016
941,Uganda,Completion rate for children of primary school age,Total,Primary education,Total,Rural,2016.0,35.854599,DHS 2016
942,Uganda,Completion rate for children of primary school age,Total,Primary education,Total,Urban,2016.0,60.616138,DHS 2016
943,Uganda,Completion rate for children of primary school age,Total,Primary education,Total,Total,2016.0,41.188141,DHS 2016
946,Ukraine,Completion rate for children of primary school age,Total,Primary education,Lowest,Total,2012.0,99.900002,MICS 2012
947,Ukraine,Completion rate for children of primary school age,Total,Primary education,Second,Total,2012.0,98.099998,MICS 2012
948,Ukraine,Completion rate for children of primary school age,Total,Primary education,Middle,Total,2012.0,99.900002,MICS 2012
949,Ukraine,Completion rate for children of primary school age,Total,Primary education,Fourth,Total,2012.0,100.0,MICS 2012
950,Ukraine,Completion rate for children of primary school age,Total,Primary education,Highest,Total,2012.0,100.0,MICS 2012
951,Ukraine,Completion rate for children of primary school age,Total,Primary education,Total,Rural,2012.0,99.400002,MICS 2012
952,Ukraine,Completion rate for children of primary school age,Total,Primary education,Total,Urban,2012.0,99.699997,MICS 2012
953,Ukraine,Completion rate for children of primary school age,Total,Primary education,Total,Total,2012.0,99.599998,MICS 2012
1039,Uruguay,Completion rate for children of primary school age,Total,Primary education,Lowest,Total,2013.0,93.287392,MICS 2012-13
1040,Uruguay,Completion rate for children of primary school age,Total,Primary education,Second,Total,2013.0,99.629593,MICS 2012-13
1041,Uruguay,Completion rate for children of primary school age,Total,Primary education,Middle,Total,2013.0,98.676407,MICS 2012-13
1042,Uruguay,Completion rate for children of primary school age,Total,Primary education,Fourth,Total,2013.0,95.252693,MICS 2012-13
1043,Uruguay,Completion rate for children of primary school age,Total,Primary education,Highest,Total,2013.0,100.0,MICS 2012-13
1044,Uruguay,Completion rate for children of primary school age,Total,Primary education,Total,Rural,2013.0,97.39917,MICS 2012-13
1045,Uruguay,Completion rate for children of primary school age,Total,Primary education,Total,Urban,2013.0,97.389862,MICS 2012-13
1046,Uruguay,Completion rate for children of primary school age,Total,Primary education,Total,Total,2013.0,97.390633,MICS 2012-13
1049,Viet Nam,Completion rate for children of primary school age,Total,Primary education,Lowest,Total,2014.0,90.0,MICS 2014
1050,Viet Nam,Completion rate for children of primary school age,Total,Primary education,Second,Total,2014.0,98.400002,MICS 2014
1051,Viet Nam,Completion rate for children of primary school age,Total,Primary education,Middle,Total,2014.0,98.699997,MICS 2014
1052,Viet Nam,Completion rate for children of primary school age,Total,Primary education,Fourth,Total,2014.0,98.800003,MICS 2014
1053,Viet Nam,Completion rate for children of primary school age,Total,Primary education,Highest,Total,2014.0,98.800003,MICS 2014
1054,Viet Nam,Completion rate for children of primary school age,Total,Primary education,Total,Rural,2014.0,95.900002,MICS 2014
1055,Viet Nam,Completion rate for children of primary school age,Total,Primary education,Total,Urban,2014.0,98.5,MICS 2014
1056,Viet Nam,Completion rate for children of primary school age,Total,Primary education,Total,Total,2014.0,96.599998,MICS 2014
1069,Samoa,Completion rate for children of primary school age,Total,Primary education,Lowest,Total,2020.0,96.716057,MICS 2019-20
1070,Samoa,Completion rate for children of primary school age,Total,Primary education,Second,Total,2020.0,96.570396,MICS 2019-20
1071,Samoa,Completion rate for children of primary school age,Total,Primary education,Middle,Total,2020.0,99.380707,MICS 2019-20
1072,Samoa,Completion rate for children of primary school age,Total,Primary education,Fourth,Total,2020.0,97.408623,MICS 2019-20
1073,Samoa,Completion rate for children of primary school age,Total,Primary education,Highest,Total,2020.0,98.374809,MICS 2019-20
1074,Samoa,Completion rate for children of primary school age,Total,Primary education,Total,Rural,2020.0,97.546883,MICS 2019-20
1075,Samoa,Completion rate for children of primary school age,Total,Primary education,Total,Urban,2020.0,98.262177,MICS 2019-20
1076,Samoa,Completion rate for children of primary school age,Total,Primary education,Total,Total,2020.0,97.68605,MICS 2019-20
1079,Yemen,Completion rate for children of primary school age,Total,Primary education,Lowest,Total,2013.0,33.0,DHS 2013
1080,Yemen,Completion rate for children of primary school age,Total,Primary education,Second,Total,2013.0,53.0,DHS 2013
1081,Yemen,Completion rate for children of primary school age,Total,Primary education,Middle,Total,2013.0,66.099998,DHS 2013
1082,Yemen,Completion rate for children of primary school age,Total,Primary education,Fourth,Total,2013.0,73.800003,DHS 2013
1083,Yemen,Completion rate for children of primary school age,Total,Primary education,Highest,Total,2013.0,86.199997,DHS 2013
1084,Yemen,Completion rate for children of primary school age,Total,Primary education,Total,Rural,2013.0,55.700001,DHS 2013
1085,Yemen,Completion rate for children of primary school age,Total,Primary education,Total,Urban,2013.0,78.599998,DHS 2013
1086,Yemen,Completion rate for children of primary school age,Total,Primary education,Total,Total,2013.0,62.599998,DHS 2013
1089,South Africa,Completion rate for children of primary school age,Total,Primary education,Lowest,Total,2016.0,91.348824,DHS 2016
1090,South Africa,Completion rate for children of primary school age,Total,Primary education,Second,Total,2016.0,96.867783,DHS 2016
1091,South Africa,Completion rate for children of primary school age,Total,Primary education,Middle,Total,2016.0,96.637291,DHS 2016
1092,South Africa,Completion rate for children of primary school age,Total,Primary education,Fourth,Total,2016.0,98.816582,DHS 2016
1093,South Africa,Completion rate for children of primary school age,Total,Primary education,Highest,Total,2016.0,99.002617,DHS 2016
1094,South Africa,Completion rate for children of primary school age,Total,Primary education,Total,Rural,2016.0,94.752388,DHS 2016
1095,South Africa,Completion rate for children of primary school age,Total,Primary education,Total,Urban,2016.0,97.392418,DHS 2016
1096,South Africa,Completion rate for children of primary school age,Total,Primary education,Total,Total,2016.0,96.309448,DHS 2016
1099,Zambia,Completion rate for children of primary school age,Total,Primary education,Lowest,Total,2018.0,38.55965,DHS 2018
1100,Zambia,Completion rate for children of primary school age,Total,Primary education,Second,Total,2018.0,55.62809,DHS 2018
1101,Zambia,Completion rate for children of primary school age,Total,Primary education,Middle,Total,2018.0,74.923653,DHS 2018
1102,Zambia,Completion rate for children of primary school age,Total,Primary education,Fourth,Total,2018.0,86.25235,DHS 2018
1103,Zambia,Completion rate for children of primary school age,Total,Primary education,Highest,Total,2018.0,92.660637,DHS 2018
1104,Zambia,Completion rate for children of primary school age,Total,Primary education,Total,Rural,2018.0,60.772251,DHS 2018
1105,Zambia,Completion rate for children of primary school age,Total,Primary education,Total,Urban,2018.0,87.443764,DHS 2018
1106,Zambia,Completion rate for children of primary school age,Total,Primary education,Total,Total,2018.0,72.170639,DHS 2018
1109,Zimbabwe,Completion rate for children of primary school age,Total,Primary education,Lowest,Total,2019.0,77.900002,MICS 2019
1110,Zimbabwe,Completion rate for children of primary school age,Total,Primary education,Second,Total,2019.0,86.400002,MICS 2019
1111,Zimbabwe,Completion rate for children of primary school age,Total,Primary education,Middle,Total,2019.0,89.0,MICS 2019
1112,Zimbabwe,Completion rate for children of primary school age,Total,Primary education,Fourth,Total,2019.0,93.0,MICS 2019
1113,Zimbabwe,Completion rate for children of primary school age,Total,Primary education,Highest,Total,2019.0,98.199997,MICS 2019
1114,Zimbabwe,Completion rate for children of primary school age,Total,Primary education,Total,Rural,2019.0,85.599998,MICS 2019
1115,Zimbabwe,Completion rate for children of primary school age,Total,Primary education,Total,Urban,2019.0,97.300003,MICS 2019
1116,Zimbabwe,Completion rate for children of primary school age,Total,Primary education,Total,Total,2019.0,88.800003,MICS 2019
1119,Kosovo,Completion rate for children of primary school age,Total,Primary education,Lowest,Total,2020.0,95.2,MICS 2019-20
1120,Kosovo,Completion rate for children of primary school age,Total,Primary education,Second,Total,2020.0,99.4,MICS 2019-20
1121,Kosovo,Completion rate for children of primary school age,Total,Primary education,Middle,Total,2020.0,100.0,MICS 2019-20
1122,Kosovo,Completion rate for children of primary school age,Total,Primary education,Fourth,Total,2020.0,99.0,MICS 2019-20
1123,Kosovo,Completion rate for children of primary school age,Total,Primary education,Highest,Total,2020.0,100.0,MICS 2019-20
1124,Kosovo,Completion rate for children of primary school age,Total,Primary education,Total,Rural,2020.0,99.7,MICS 2019-20
1125,Kosovo,Completion rate for children of primary school age,Total,Primary education,Total,Urban,2020.0,96.3,MICS 2019-20
1126,Kosovo,Completion rate for children of primary school age,Total,Primary education,Total,Total,2020.0,98.4,MICS 2019-20
2,Afghanistan,Completion rate for youth of upper secondary education school age,Total,,,,2015.0,22.89534,DHS 2015
5,Albania,Completion rate for youth of upper secondary education school age,Total,,,,2018.0,77.94796,DHS 2017-18
8,Algeria,Completion rate for youth of upper secondary education school age,Total,,,,2020.0,46.431679,MICS 2019
11,Angola,Completion rate for youth of upper secondary education school age,Total,,,,2016.0,18.7439,DHS 2015-16
14,Argentina,Completion rate for youth of upper secondary education school age,Total,,,,2020.0,60.195518,MICS 2019-20
17,Armenia,Completion rate for youth of upper secondary education school age,Total,,,,2016.0,74.582832,DHS 2015-16
20,Bangladesh,Completion rate for youth of upper secondary education school age,Total,,,,2019.0,29.4,MICS 2019
23,Barbados,Completion rate for youth of upper secondary education school age,Total,,,,2012.0,93.900002,MICS 2012
26,Belarus,Completion rate for youth of upper secondary education school age,Total,,,,2020.0,98.108932,MICS 2019
29,Belize,Completion rate for youth of upper secondary education school age,Total,,,,2016.0,49.200001,MICS 2015-16
32,Benin,Completion rate for youth of upper secondary education school age,Total,,,,2018.0,8.4086723,DHS 2017-18
35,Bolivia (Plurinational State of),Completion rate for youth of upper secondary education school age,Total,,,,2016.0,65.755737,Encuesta de DemografÃ­a y Salud (EDSA) 2016
38,Bosnia and Herzegovina,Completion rate for youth of upper secondary education school age,Total,,,,2012.0,92.199997,MICS 2011-12
41,Botswana,Completion rate for youth of upper secondary education school age,Total,,,,2017.0,60.900002,Botswana Demographic Survey 2017
44,Brazil,Completion rate for youth of upper secondary education school age,Total,,,,2019.0,69.699997,PNAD 2019
47,Burundi,Completion rate for youth of upper secondary education school age,Total,,,,2017.0,3.5,DHS 2016-17
50,Cambodia,Completion rate for youth of upper secondary education school age,Total,,,,2014.0,19.9,DHS 2014
53,Cameroon,Completion rate for youth of upper secondary education school age,Total,,,,2018.0,22.98877,DHS 2018
56,Central African Republic,Completion rate for youth of upper secondary education school age,Total,,,,2019.0,6.217989,MICS 2018-19
59,Chad,Completion rate for youth of upper secondary education school age,Total,,,,2019.0,4.4250321,MICS 2019
62,Chile,Completion rate for youth of upper secondary education school age,Total,,,,2017.0,85.579773,CASEN 2017
65,China,Completion rate for youth of upper secondary education school age,Total,,,,2015.0,65.0,National Population Sample Survey 2015
68,Colombia,Completion rate for youth of upper secondary education school age,Total,,,,2015.0,73.92572,DHS 2015
71,Comoros,Completion rate for youth of upper secondary education school age,Total,,,,2012.0,28.299999,DHS 2012
74,Congo,Completion rate for youth of upper secondary education school age,Total,,,,2015.0,23.26103,MICS 2014-15
77,Costa Rica,Completion rate for youth of upper secondary education school age,Total,,,,2018.0,57.958618,MICS 2018
80,Cuba,Completion rate for youth of upper secondary education school age,Total,,,,2019.0,58.634781,MICS 2019
83,Côte d'Ivoire,Completion rate for youth of upper secondary education school age,Total,,,,2017.0,15.8,MICS 2016-17
86,Democratic People's Republic of Korea,Completion rate for youth of upper secondary education school age,Total,,,,2017.0,99.900002,MICS 2017
89,Democratic Republic of the Congo,Completion rate for youth of upper secondary education school age,Total,,,,2018.0,31.136499,MICS 2017-18
92,Dominican Republic,Completion rate for youth of upper secondary education school age,Total,,,,2019.0,60.69688,MICS 2019
104,Ecuador,Completion rate for youth of upper secondary education school age,Total,,,,2019.0,78.5,GEPH-ENEMDU-DICIEMBRE - 2019
107,Egypt,Completion rate for youth of upper secondary education school age,Total,,,,2014.0,41.8937,DHS 2014
110,El Salvador,Completion rate for youth of upper secondary education school age,Total,,,,2014.0,35.0,MICS 2014
113,Eswatini,Completion rate for youth of upper secondary education school age,Total,,,,2014.0,32.277821,MICS 2014
116,Ethiopia,Completion rate for youth of upper secondary education school age,Total,,,,2016.0,12.27563,DHS 2016
119,Gabon,Completion rate for youth of upper secondary education school age,Total,,,,2012.0,13.74806,DHS 2012
122,Gambia,Completion rate for youth of upper secondary education school age,Total,,,,2013.0,30.369619,DHS 2013
125,Georgia,Completion rate for youth of upper secondary education school age,Total,,,,2018.0,80.900002,MICS 2018
128,Ghana,Completion rate for youth of upper secondary education school age,Total,,,,2018.0,10.04279,MICS 2017-18
131,Guatemala,Completion rate for youth of upper secondary education school age,Total,,,,2015.0,26.215269,DHS 2014-15
134,Guinea,Completion rate for youth of upper secondary education school age,Total,,,,2018.0,16.25728,DHS 2018
137,Guinea-Bissau,Completion rate for youth of upper secondary education school age,Total,,,,2019.0,10.77863,MICS 2018-19
140,Guyana,Completion rate for youth of upper secondary education school age,Total,,,,2020.0,61.344212,MICS 2019-20
143,Haiti,Completion rate for youth of upper secondary education school age,Total,,,,2017.0,16.754721,DHS 2016-17
146,Honduras,Completion rate for youth of upper secondary education school age,Total,,,,2019.0,33.002911,MICS 2019
149,India,Completion rate for youth of upper secondary education school age,Total,,,,2016.0,42.951,DHS 2015-16
152,Indonesia,Completion rate for youth of upper secondary education school age,Total,,,,2017.0,63.147881,DHS 2017
155,Iraq,Completion rate for youth of upper secondary education school age,Total,,,,2018.0,44.299999,MICS 2018
158,Jordan,Completion rate for youth of upper secondary education school age,Total,,,,2018.0,55.72213,DHS 2017-18
161,Kazakhstan,Completion rate for youth of upper secondary education school age,Total,,,,2015.0,95.199997,MICS 2015
164,Kenya,Completion rate for youth of upper secondary education school age,Total,,,,2014.0,40.799999,DHS 2014
167,Kiribati,Completion rate for youth of upper secondary education school age,Total,,,,2019.0,16.509899,MICS 2018-19
170,Kosovo,Completion rate for youth of upper secondary education school age,Total,,,,2020.0,87.2,MICS 2019-20
173,Kyrgyzstan,Completion rate for youth of upper secondary education school age,Total,,,,2018.0,86.800003,MICS 2018
176,Lao People's Democratic Republic,Completion rate for youth of upper secondary education school age,Total,,,,2017.0,31.058281,MICS 2017
185,Lesotho,Completion rate for youth of upper secondary education school age,Total,,,,2018.0,31.799999,MICS 2018
188,Liberia,Completion rate for youth of upper secondary education school age,Total,,,,2013.0,13.4,DHS 2013
191,Madagascar,Completion rate for youth of upper secondary education school age,Total,,,,2018.0,15.3,MICS 2018
194,Malawi,Completion rate for youth of upper secondary education school age,Total,,,,2016.0,14.0,DHS 2015-16
197,Mali,Completion rate for youth of upper secondary education school age,Total,,,,2015.0,16.799999,MICS 2015
200,Mauritania,Completion rate for youth of upper secondary education school age,Total,,,,2015.0,26.626789,MICS 2015
203,Mexico,Completion rate for youth of upper secondary education school age,Total,,,,2018.0,58.200001,ENIGH 2018
209,Mongolia,Completion rate for youth of upper secondary education school age,Total,,,,2014.0,66.150703,MICS 2013-14
212,Montenegro,Completion rate for youth of upper secondary education school age,Total,,,,2018.0,86.245087,MICS 2018
215,Myanmar,Completion rate for youth of upper secondary education school age,Total,,,,2015.0,16.796431,DHS 2015
218,Namibia,Completion rate for youth of upper secondary education school age,Total,,,,2013.0,36.400002,DHS 2013
221,Nepal,Completion rate for youth of upper secondary education school age,Total,,,,2019.0,27.2705,MICS 2019
224,Niger,Completion rate for youth of upper secondary education school age,Total,,,,2012.0,2.1817999,DHS 2012
227,Nigeria,Completion rate for youth of upper secondary education school age,Total,,,,2018.0,49.200001,DHS 2018
230,North Macedonia,Completion rate for youth of upper secondary education school age,Total,,,,2019.0,83.012756,MICS 2018-19
233,Pakistan,Completion rate for youth of upper secondary education school age,Total,,,,2018.0,23.43825,DHS 2017-18
236,Panama,Completion rate for youth of upper secondary education school age,Total,,,,2013.0,62.5,MICS 2013
239,Paraguay,Completion rate for youth of upper secondary education school age,Total,,,,2017.0,63.099998,Encuesta Permanente de Hogares 2017
242,Peru,Completion rate for youth of upper secondary education school age,Total,,,,2012.0,74.800003,DHS 2012
245,Philippines,Completion rate for youth of upper secondary education school age,Total,,,,2017.0,78.315628,DHS 2017
248,Republic of Moldova,Completion rate for youth of upper secondary education school age,Total,,,,2012.0,66.812927,MICS 2012
251,Rwanda,Completion rate for youth of upper secondary education school age,Total,,,,2015.0,17.299999,DHS 2014-15
254,Saint Lucia,Completion rate for youth of upper secondary education school age,Total,,,,2012.0,80.400002,MICS 2012
257,Samoa,Completion rate for youth of upper secondary education school age,Total,,,,2020.0,56.555779,MICS 2019-20
260,Sao Tome and Principe,Completion rate for youth of upper secondary education school age,Total,,,,2019.0,28.512659,MICS 2019
263,Senegal,Completion rate for youth of upper secondary education school age,Total,,,,2019.0,10.39117,DHS 2019
266,Serbia,Completion rate for youth of upper secondary education school age,Total,,,,2019.0,94.427223,MICS 2019
269,Sierra Leone,Completion rate for youth of upper secondary education school age,Total,,,,2017.0,21.700001,MICS 2017
272,South Africa,Completion rate for youth of upper secondary education school age,Total,,,,2016.0,48.42963,DHS 2016
278,Sri Lanka,Completion rate for youth of upper secondary education school age,Total,,,,2016.0,37.65617,DHS 2016
281,State of Palestine,Completion rate for youth of upper secondary education school age,Total,,,,2020.0,62.43668,MICS 2019-20
287,Sudan,Completion rate for youth of upper secondary education school age,Total,,,,2014.0,30.54019,MICS 2014
290,Suriname,Completion rate for youth of upper secondary education school age,Total,,,,2018.0,22.25979,MICS 2018
293,Tajikistan,Completion rate for youth of upper secondary education school age,Total,,,,2017.0,69.537643,DHS 2017
296,Thailand,Completion rate for youth of upper secondary education school age,Total,,,,2019.0,65.228394,MICS 2019
299,Timor-Leste,Completion rate for youth of upper secondary education school age,Total,,,,2016.0,51.95586,DHS 2016
302,Togo,Completion rate for youth of upper secondary education school age,Total,,,,2017.0,21.219419,MICS 2017
305,Tonga,Completion rate for youth of upper secondary education school age,Total,,,,2019.0,50.928162,MICS 2019
308,Tunisia,Completion rate for youth of upper secondary education school age,Total,,,,2018.0,48.700001,MICS 2018
311,Turkmenistan,Completion rate for youth of upper secondary education school age,Total,,,,2019.0,96.93737,MICS 2019
314,Turks and Caicos Islands,Completion rate for youth of upper secondary education school age,Total,,,,2020.0,97.688927,MICS 2019-20
317,Tuvalu,Completion rate for youth of upper secondary education school age,Total,,,,2020.0,52.63641,MICS 2019-20
320,Türkiye,Completion rate for youth of upper secondary education school age,Total,,,,2013.0,47.49535,DHS style 2013
323,Uganda,Completion rate for youth of upper secondary education school age,Total,,,,2016.0,16.58814,DHS 2016
326,Ukraine,Completion rate for youth of upper secondary education school age,Total,,,,2012.0,96.800003,MICS 2012
329,United Republic of Tanzania,Completion rate for youth of upper secondary education school age,Total,,,,2015.0,29.299999,DHS 2015
332,Uruguay,Completion rate for youth of upper secondary education school age,Total,,,,2013.0,37.685638,MICS 2012-13
335,Viet Nam,Completion rate for youth of upper secondary education school age,Total,,,,2014.0,55.5,MICS 2014
344,Yemen,Completion rate for youth of upper secondary education school age,Total,,,,2013.0,29.5,DHS 2013
347,Zambia,Completion rate for youth of upper secondary education school age,Total,,,,2018.0,29.66189,DHS 2018
350,Zimbabwe,Completion rate for youth of upper secondary education school age,Total,,,,2019.0,15.3,MICS 2019
2,Afghanistan,Completion rate for adolescents of lower secondary school age,Total,,,,2015.0,37.217079,DHS 2015
5,Albania,Completion rate for adolescents of lower secondary school age,Total,,,,2018.0,97.671013,DHS 2017-18
8,Algeria,Completion rate for adolescents of lower secondary school age,Total,,,,2020.0,68.905968,MICS 2019
11,Angola,Completion rate for adolescents of lower secondary school age,Total,,,,2016.0,36.50642,DHS 2015-16
14,Argentina,Completion rate for adolescents of lower secondary school age,Total,,,,2020.0,79.316093,MICS 2019-20
17,Armenia,Completion rate for adolescents of lower secondary school age,Total,,,,2016.0,97.058952,DHS 2015-16
20,Bangladesh,Completion rate for adolescents of lower secondary school age,Total,,,,2019.0,64.699997,MICS 2019
23,Barbados,Completion rate for adolescents of lower secondary school age,Total,,,,2012.0,98.0,MICS 2012
26,Belarus,Completion rate for adolescents of lower secondary school age,Total,,,,2020.0,98.800743,MICS 2019
29,Belize,Completion rate for adolescents of lower secondary school age,Total,,,,2016.0,60.299999,MICS 2015-16
32,Benin,Completion rate for adolescents of lower secondary school age,Total,,,,2018.0,18.63559,DHS 2017-18
35,Bolivia (Plurinational State of),Completion rate for adolescents of lower secondary school age,Total,,,,2016.0,82.905907,Encuesta de DemografÃ­a y Salud (EDSA) 2016
38,Bosnia and Herzegovina,Completion rate for adolescents of lower secondary school age,Total,,,,2012.0,96.800003,MICS 2011-12
41,Botswana,Completion rate for adolescents of lower secondary school age,Total,,,,2017.0,91.5,Botswana Demographic Survey 2017
44,Brazil,Completion rate for adolescents of lower secondary school age,Total,,,,2019.0,84.699997,PNAD 2019
47,Burundi,Completion rate for adolescents of lower secondary school age,Total,,,,2017.0,22.200001,DHS 2016-17
50,Cambodia,Completion rate for adolescents of lower secondary school age,Total,,,,2014.0,40.0,DHS 2014
53,Cameroon,Completion rate for adolescents of lower secondary school age,Total,,,,2018.0,47.42281,DHS 2018
56,Central African Republic,Completion rate for adolescents of lower secondary school age,Total,,,,2019.0,12.26978,MICS 2018-19
59,Chad,Completion rate for adolescents of lower secondary school age,Total,,,,2019.0,13.19732,MICS 2019
62,Chile,Completion rate for adolescents of lower secondary school age,Total,,,,2017.0,95.600967,CASEN 2017
65,China,Completion rate for adolescents of lower secondary school age,Total,,,,2015.0,93.199997,National Population Sample Survey 2015
68,Colombia,Completion rate for adolescents of lower secondary school age,Total,,,,2015.0,77.607498,DHS 2015
71,Comoros,Completion rate for adolescents of lower secondary school age,Total,,,,2012.0,46.0,DHS 2012
74,Congo,Completion rate for adolescents of lower secondary school age,Total,,,,2015.0,50.33802,MICS 2014-15
77,Costa Rica,Completion rate for adolescents of lower secondary school age,Total,,,,2018.0,72.890152,MICS 2018
80,Cuba,Completion rate for adolescents of lower secondary school age,Total,,,,2019.0,94.091927,MICS 2019
83,Côte d'Ivoire,Completion rate for adolescents of lower secondary school age,Total,,,,2016.0,28.299999,MICS 2016
86,Democratic People's Republic of Korea,Completion rate for adolescents of lower secondary school age,Total,,,,2017.0,99.800003,MICS 2017
89,Democratic Republic of the Congo,Completion rate for adolescents of lower secondary school age,Total,,,,2018.0,54.386219,MICS 2017-18
92,Dominican Republic,Completion rate for adolescents of lower secondary school age,Total,,,,2019.0,76.727829,MICS 2019
104,Ecuador,Completion rate for adolescents of lower secondary school age,Total,,,,2019.0,90.199997,GEPH-ENEMDU-DICIEMBRE - 2019
107,Egypt,Completion rate for adolescents of lower secondary school age,Total,,,,2014.0,80.363083,DHS 2014
110,El Salvador,Completion rate for adolescents of lower secondary school age,Total,,,,2014.0,73.300003,MICS 2014
113,Eswatini,Completion rate for adolescents of lower secondary school age,Total,,,,2014.0,50.470829,MICS 2014
116,Ethiopia,Completion rate for adolescents of lower secondary school age,Total,,,,2016.0,21.065941,DHS 2016
119,Gabon,Completion rate for adolescents of lower secondary school age,Total,,,,2012.0,32.460979,DHS 2012
122,Gambia,Completion rate for adolescents of lower secondary school age,Total,,,,2013.0,48.697842,DHS 2013
125,Georgia,Completion rate for adolescents of lower secondary school age,Total,,,,2018.0,97.699997,MICS 2018
128,Ghana,Completion rate for adolescents of lower secondary school age,Total,,,,2018.0,47.422539,MICS 2017-18
131,Guatemala,Completion rate for adolescents of lower secondary school age,Total,,,,2015.0,48.24213,DHS 2014-15
134,Guinea,Completion rate for adolescents of lower secondary school age,Total,,,,2018.0,25.398821,DHS 2018
